,forecast
2012-02-29,1.0
2012-03-31,5.078572171070033
2012-04-30,4.900000276027397
2012-05-31,4.980000136198338
2012-06-30,5.070967818669075
2012-07-31,6.04666690806472
2012-08-31,7.938710218131028
2012-09-30,10.941936446129445
2012-10-31,11.633333858753428
2012-11-30,11.725806577667596
2012-12-31,11.48666640034533
2013-01-31,13.364515659737902
2013-02-28,30.08871331169928
2013-03-31,25.256168450654496
2013-04-30,81.49811183193371
2013-05-31,183.5721008477533
2013-06-30,131.18749200122002
2013-07-31,119.8159143974574
2013-08-31,91.50358166178691
2013-09-30,105.60806903628148
2013-10-31,130.4360455789886
2013-11-30,159.4334644371269
2013-12-31,896.5376815069193
2014-01-31,1020.3416414597392
2014-02-28,1008.8723344802984
2014-03-31,772.0337583911742
2014-04-30,705.4300605650957
2014-05-31,341.86378568688195
2014-06-30,495.89094001223947
2014-07-31,681.9132734694459
2014-08-31,745.7216433434305
2014-09-30,514.8642828151226
2014-10-31,432.2265452153154
2014-11-30,564.4368720988497
2014-12-31,384.15207638668835
2015-01-31,305.0697990589008
2015-02-28,228.95074359246817
2015-03-31,263.4046639549229
2015-04-30,312.38002598220965
2015-05-31,205.14638176515587
2015-06-30,264.04856565275406
2015-07-31,225.18863674280294
2015-08-31,327.02005563110185
2015-09-30,233.07963507692503
2015-10-31,224.41425915591108
2015-11-30,411.4778632731859
2015-12-31,397.22978897156503
2016-01-31,395.7125309504652
2016-02-29,422.4260950436371
2016-03-31,463.85989201988207
2016-04-30,427.89883913025096
2016-05-31,424.64928883746626
2016-06-30,505.69136802932644
2016-07-31,736.9057740003565
2016-08-31,689.2950703724815
2016-09-30,539.6459272265241
2016-10-31,633.5584198221625
2016-11-30,910.5559568532426
2016-12-31,786.9669479314583
2017-01-31,756.484218862958
2017-02-28,978.0742563497806
2017-03-31,1266.3733319362757
2017-04-30,1184.7937488041232
2017-05-31,1274.3794197692762
2017-06-30,2456.4693412789334
2017-07-31,2893.4293883691744
2017-08-31,2431.109610734892
2017-09-30,4525.9330730014
2017-10-31,4329.936386006874
2017-11-30,7403.729100227365
2017-12-31,9191.026266763023
2018-01-31,18124.476764640323
2018-02-28,12725.978920790212
2018-03-31,8854.36165811968
2018-04-30,9141.852181026366
2018-05-31,7763.754818269855
2018-06-30,9626.81733330691
2018-07-31,5950.921113830944
2018-08-31,7669.5887460871545
2018-09-30,6394.201141114126
2018-10-31,6953.719085832464
2018-11-30,8212.381054785577
2018-12-31,5798.04128595673
2019-01-31,2756.8010386627543
2019-02-28,3674.6430427939613
2019-03-31,4113.557538822342
2019-04-30,4123.054615084431
2019-05-31,6059.491964929397
2019-06-30,8823.200649672874
2019-07-31,10255.797733928297
2019-08-31,11767.085306331828
2019-09-30,10484.722266705354
2019-10-31,9973.813510128164
2019-11-30,9281.764866047812
2019-12-31,8904.394181599464
2020-01-31,6238.591876877957
2020-02-29,8641.551440676853
2020-03-31,11215.57304973166
2020-04-30,6183.104014022833
2020-05-31,7767.884104869186
2020-06-30,10865.442670882505
2020-07-31,9556.132107609345
2020-08-31,9825.838570224256
2020-09-30,12366.407365511724
2020-10-31,10562.101664693748
2020-11-30,14372.738334965763
2020-12-31,19473.7670478555
2021-01-31,23168.819168869533
2021-02-28,42080.674014736585
2021-03-31,52965.652558633956
2021-04-30,60652.67474689735
2021-05-31,62824.85581213248
2021-06-30,44844.27479006902
2021-07-31,31694.37386935264
2021-08-31,35021.675965108865
2021-09-30,49530.59870095968
2021-10-31,47801.70236849676
2021-10-31,47801.70236849676
2021-11-30,69617.23705573738
2021-12-31,79310.2927918067
2022-01-31,83478.07115418934
2022-02-28,86069.50098109953
